index,model1,dataset1,gpu_num1,batch_size1,speed1,co_pipeline_rank,pipeline_strategy,model2,dataset2,gpu_num2,batch_size2,speed2
196,GPT2-Medium,WikiText,2,512/8,0.41,"0,1","6,18",PointNet,ShapeNet,2,64,1.0
197,GPT2-Medium,WikiText,2,512/8,0.29,"0,1","6,18",PointNet,ShapeNet,2,128,1.0
198,GPT2-Medium,WikiText,2,512/8,0.68,"0,1","12,12",resnet50,ImageNet,2,32,0.46
199,GPT2-Medium,WikiText,2,512/8,0.57,"0,1","12,12",resnet50,ImageNet,2,64,0.54
200,GPT2-Medium,WikiText,2,512/8,0.5,"0,1","12,12",resnet50,ImageNet,2,128,0.69
201,GPT2-Medium,WikiText,2,512/8,0.48,"0,1","12,12",vgg19,ImageNet,2,32,0.7
202,GPT2-Medium,WikiText,2,512/8,0.36,"0,1","12,12",vgg19,ImageNet,2,64,0.81
203,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","12,12",vgg19,ImageNet,2,128,0.0
204,GPT2-Medium,WikiText,2,512/8,0.82,"0,1","12,12",DCGAN,LSUN,2,32,0.51
205,GPT2-Medium,WikiText,2,512/8,0.8,"0,1","12,12",DCGAN,LSUN,2,64,0.56
206,GPT2-Medium,WikiText,2,512/8,0.77,"0,1","12,12",DCGAN,LSUN,2,128,0.54
207,GPT2-Medium,WikiText,2,512/8,0.63,"0,1","12,12",PointNet,ShapeNet,2,32,0.64
208,GPT2-Medium,WikiText,2,512/8,0.56,"0,1","12,12",PointNet,ShapeNet,2,64,0.74
209,GPT2-Medium,WikiText,2,512/8,0.37,"0,1","12,12",PointNet,ShapeNet,2,128,0.88
210,GPT2-Medium,WikiText,2,512/8,0.69,"0,1","14,10",resnet50,ImageNet,2,32,0.37
211,GPT2-Medium,WikiText,2,512/8,0.62,"0,1","14,10",resnet50,ImageNet,2,64,0.48
212,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","14,10",resnet50,ImageNet,2,128,0.0
213,GPT2-Medium,WikiText,2,512/8,0.43,"0,1","14,10",vgg19,ImageNet,2,32,0.66
214,GPT2-Medium,WikiText,2,512/8,0.36,"0,1","14,10",vgg19,ImageNet,2,64,0.79
215,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","14,10",vgg19,ImageNet,2,128,0.0
216,GPT2-Medium,WikiText,2,512/8,0.88,"0,1","14,10",DCGAN,LSUN,2,32,0.38
217,GPT2-Medium,WikiText,2,512/8,0.85,"0,1","14,10",DCGAN,LSUN,2,64,0.39
218,GPT2-Medium,WikiText,2,512/8,0.82,"0,1","14,10",DCGAN,LSUN,2,128,0.4
219,GPT2-Medium,WikiText,2,512/8,0.64,"0,1","14,10",PointNet,ShapeNet,2,32,0.55
220,GPT2-Medium,WikiText,2,512/8,0.5,"0,1","14,10",PointNet,ShapeNet,2,64,0.74
221,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","14,10",PointNet,ShapeNet,2,128,0.0
222,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",resnet50,ImageNet,2,32,0.0
223,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",resnet50,ImageNet,2,64,0.0
224,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",resnet50,ImageNet,2,128,0.0
225,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",vgg19,ImageNet,2,32,0.0
226,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",vgg19,ImageNet,2,64,0.0
227,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",vgg19,ImageNet,2,128,0.0
228,GPT2-Medium,WikiText,2,512/8,0.78,"0,1","16,8",DCGAN,LSUN,2,32,0.37
229,GPT2-Medium,WikiText,2,512/8,0.75,"0,1","16,8",DCGAN,LSUN,2,64,0.37
230,GPT2-Medium,WikiText,2,512/8,0.71,"0,1","16,8",DCGAN,LSUN,2,128,0.41
231,GPT2-Medium,WikiText,2,512/8,0.57,"0,1","16,8",PointNet,ShapeNet,2,32,0.54
232,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",PointNet,ShapeNet,2,64,0.0
233,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","16,8",PointNet,ShapeNet,2,128,0.0
234,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",resnet50,ImageNet,2,32,0.0
235,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",resnet50,ImageNet,2,64,0.0
236,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",resnet50,ImageNet,2,128,0.0
237,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",vgg19,ImageNet,2,32,0.0
238,GPT2-Medium,WikiText,2,512/8,0.0,"0,1","18,6",vgg19,ImageNet,2,64,0.0
